Transition_Name,Lipid_Name,For_Rgoslin,Precursor_Ion,Product_Ion,Retention_Time_[min],Delta_Retention_Time_[min],Collision_Energy,Cell_Accelerator_Voltage,Polarity,isISTD
AcylCarnitine 10:0,CAR 10:0,CAR 10:0,316.2,85.1,1,1,30,5,Positive,FALSE
AcylCarnitine 10:1,CAR 10:1,CAR 10:1,314.2,85.1,0.95,1,30,5,Positive,FALSE
AcylCarnitine 12:0,CAR 12:0,CAR 12:0,344.3,85.1,1.3,1,30,5,Positive,FALSE
AcylCarnitine 12:1,CAR 12:1,CAR 12:1,342.3,85.1,1.1,1,30,5,Positive,FALSE
AcylCarnitine 13:0,CAR 13:0,CAR 13:0,358.3,85.1,1.5,1,30,5,Positive,FALSE
AcylCarnitine 14:0,CAR 14:0,CAR 14:0,372.3,85.1,1.8,1,30,5,Positive,FALSE
AcylCarnitine 14:1,CAR 14:1,CAR 14:1,370.3,85.1,1.5,1,30,5,Positive,FALSE
AcylCarnitine 14:2,CAR 14:2,CAR 14:2,368.3,85.1,1.2,1,30,5,Positive,FALSE
AcylCarnitine 15:0,CAR 15:0,CAR 15:0,386.3,85.1,2.2,1,30,5,Positive,FALSE
AcylCarnitine 16:0,CAR 16:0,CAR 16:0,400.4,85.1,2.5,1,30,5,Positive,FALSE
AcylCarnitine 16:0 d3 (ISTD),[D3]CAR 16:0 (ISTD),CAR 16:0,403.4,85.1,2.5,1,30,5,Positive,TRUE
AcylCarnitine 16:1,CAR 16:1,CAR 16:1,398.3,85.1,2,1,30,5,Positive,FALSE
AcylCarnitine 17:0,CAR 17:0,CAR 17:0,414.4,85.1,2.8,1,30,5,Positive,FALSE
AcylCarnitine 18:0,CAR 18:0,CAR 18:0,428.4,85.1,3.2,1,30,5,Positive,FALSE
AcylCarnitine 18:1,CAR 18:1,CAR 18:1,426.4,85.1,2.6,1,30,5,Positive,FALSE
AcylCarnitine 18:2,CAR 18:2,CAR 18:2,424.3,85.1,2.2,1,30,5,Positive,FALSE
